what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1299257305376
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257307888
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299257308798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257308856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257311927
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299257313979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257314033
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1299257314742
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1299257315030
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1299257315041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257327600
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299257339741
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299257339919
